PA,Temp,Ground Roll,Ground Roll + 50ft
0,-35,970,2060
1000,-35,1010,2120
2000,-35,1060,2190
3000,-35,1100,2250
4000,-35,1150,2320
5000,-35,1200,2400
6000,-35,1250,2470
7000,-35,1310,2550
8000,-35,1370,2630
9000,-35,1430,2720
10000,-35,1490,2810
0,-25,1020,2130
1000,-25,1060,2200
2000,-25,1110,2260
3000,-25,1160,2330
4000,-25,1210,2400
5000,-25,1260,2480
6000,-25,1310,2560
7000,-25,1370,2640
8000,-25,1430,2730
9000,-25,1500,2820
10000,-25,1570,2910
0,-15,1070,2200
1000,-15,1110,2270
2000,-15,1160,2340
3000,-15,1210,2410
4000,-15,1260,2480
5000,-15,1320,2560
6000,-15,1380,2640
7000,-15,1440,2730
8000,-15,1500,2820
9000,-15,1570,2910
10000,-15,1640,3010
0,-5,1110,2270
1000,-5,1160,2340
2000,-5,1210,2410
3000,-5,1260,2490
4000,-5,1320,2560
5000,-5,1380,2650
6000,-5,1440,2730
7000,-5,1500,2820
8000,-5,1570,2910
9000,-5,1640,3010
10000,-5,1710,3110
0,5,1160,2340
1000,5,1210,2410
2000,5,1260,2490
3000,5,1320,2560
4000,5,1380,2640
5000,5,1430,2730
6000,5,1500,2810
7000,5,1560,2910
8000,5,1630,3000
9000,5,1710,3100
10000,5,1780,3200
0,15,1210,2410
1000,15,1260,2480
2000,15,1320,2560
3000,15,1370,2640
4000,15,1430,2720
5000,15,1490,2810
6000,15,1560,2900
7000,15,1630,2990
8000,15,1700,3090
9000,15,1770,3190
10000,15,1850,3300
0,25,1260,2480
1000,25,1310,2560
2000,25,1370,2630
3000,25,1430,2720
4000,25,1490,2800
5000,25,1550,2890
6000,25,1620,2980
7000,25,1690,3080
8000,25,1770,3180
9000,25,1840,3290
10000,25,1930,3400
0,35,1310,2550
1000,35,1360,2630
2000,35,1420,2710
3000,35,1480,2790
4000,35,1550,2880
5000,35,1610,2970
6000,35,1680,3070
7000,35,1760,3170
8000,35,1830,3270
9000,35,1910,3380
10000,35,2000,3500
0,45,1360,2620
1000,45,1410,2700
2000,45,1470,2780
3000,45,1540,2870
4000,45,1600,2960
5000,45,1670,3050
6000,45,1740,3150
7000,45,1820,3260
8000,45,1900,3360
9000,45,1980,3480
10000,45,2070,3590